participant,trial,response_time,group,trialOrder,correct,side,changeTrial,RTwoOutlier,phase
P42,18,3.125592947,TLD,5,1,left,1.0,3.125592947,implicit
P42,19,3.537681818,TLD,5,1,left,0.0,3.537681818,implicit
P42,20,2.588563919,TLD,5,1,right,1.0,2.588563919,implicit
P42,21,2.667135954,TLD,5,1,right,0.0,2.667135954,implicit
P42,22,3.475997925,TLD,5,1,left,1.0,3.475997925,implicit
P42,23,2.731678009,TLD,5,1,right,1.0,2.731678009,implicit
P42,24,2.956979036,TLD,5,1,left,1.0,2.956979036,implicit
P42,25,0.5211930275,TLD,5,0,right,0.0,,implicit
P42,26,3.527637005,TLD,5,1,left,1.0,3.527637005,implicit
P42,27,2.425833941,TLD,5,1,right,1.0,2.425833941,implicit
P42,28,2.697978973,TLD,5,1,right,0.0,2.697978973,implicit
P42,29,2.709811926,TLD,5,1,left,1.0,2.709811926,implicit
P42,30,2.617673159,TLD,5,1,left,0.0,2.617673159,implicit
P42,31,2.795897007,TLD,5,1,right,1.0,2.795897007,implicit
P42,32,2.977053881,TLD,5,1,left,1.0,2.977053881,implicit
P42,33,2.544194937,TLD,5,1,right,1.0,2.544194937,implicit
P42,34,2.79769206,TLD,5,1,left,1.0,2.79769206,implicit
P42,35,2.969099998,TLD,5,1,left,0.0,2.969099998,implicit
P42,36,2.911811113,TLD,5,1,right,1.0,2.911811113,implicit
P42,37,3.110896826,TLD,5,1,left,1.0,3.110896826,implicit
P42,38,2.813616037,TLD,5,1,right,1.0,2.813616037,implicit
P42,39,2.675945044,TLD,5,1,left,1.0,2.675945044,implicit
P42,40,2.967370987,TLD,5,1,left,0.0,2.967370987,implicit
P42,41,2.545314074,TLD,5,1,right,1.0,2.545314074,implicit
P42,42,2.751772881,TLD,5,1,right,0.0,2.751772881,implicit
P42,43,3.07734704,TLD,5,1,right,0.0,3.07734704,implicit
P42,44,3.528124809,TLD,5,1,left,1.0,3.528124809,implicit
P42,45,2.969259977,TLD,5,1,left,0.0,2.969259977,implicit
P42,46,2.606823921,TLD,5,1,right,1.0,2.606823921,implicit
P42,47,3.178686142,TLD,5,1,left,1.0,3.178686142,implicit
P42,48,3.188310862,TLD,5,1,right,1.0,3.188310862,implicit
P44,1,1.545773983,TLD,6,0,right,0.0,1.545773983,implicit
P44,2,0.9924118519,TLD,6,1,left,1.0,0.9924118519,implicit
P44,3,1.304541826,TLD,6,1,left,0.0,1.304541826,implicit
P44,4,2.693041086,TLD,6,1,right,1.0,2.693041086,implicit
P44,5,3.713502884,TLD,6,1,left,1.0,3.713502884,implicit
P44,6,2.457385063,TLD,6,1,right,1.0,2.457385063,implicit
P44,7,1.814274073,TLD,6,1,left,1.0,1.814274073,implicit
P44,8,1.39646697,TLD,6,1,right,1.0,1.39646697,implicit
P44,9,1.001435041,TLD,6,1,right,0.0,1.001435041,implicit
P44,10,0.7945699692,TLD,6,0,left,1.0,0.7945699692,implicit
P44,11,1.087799072,TLD,6,0,left,0.0,1.087799072,implicit
P44,12,2.77895999,TLD,6,1,right,1.0,2.77895999,implicit
P44,13,2.248302937,TLD,6,1,right,0.0,2.248302937,implicit
P44,14,3.060064077,TLD,6,1,left,1.0,3.060064077,implicit
P44,15,2.380759001,TLD,6,1,right,1.0,2.380759001,implicit
P44,16,2.518344879,TLD,6,1,right,0.0,2.518344879,implicit
P44,17,2.594776869,TLD,6,1,left,1.0,2.594776869,implicit
P44,18,2.601505995,TLD,6,1,left,0.0,2.601505995,implicit
P44,19,2.770264149,TLD,6,1,left,0.0,2.770264149,implicit
P44,20,2.194499969,TLD,6,1,right,1.0,2.194499969,implicit
P44,21,1.998006105,TLD,6,0,left,1.0,1.998006105,implicit
P44,22,1.394412041,TLD,6,0,right,1.0,1.394412041,implicit
P44,23,2.334528923,TLD,6,1,right,0.0,2.334528923,implicit
P44,24,3.278931141,TLD,6,1,left,1.0,3.278931141,implicit
P44,25,5.086665869,TLD,6,1,left,0.0,5.086665869,implicit
