participant,trial,group,trialOrder,side,changeTrial,RTwoOutlier,soundDimension,soundfileNum,duration,pitch,response_time,correct,phase,RT_3x_std
P67,22,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.348115921,1,implicit,True
P67,23,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,1.351840973,0,implicit,True
P67,24,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.643265963,1,implicit,True
P67,25,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,3.368923187,1,implicit,True
P67,26,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.829947948,1,implicit,True
P67,27,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,3.557085037,1,implicit,True
P67,28,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,3.734644175,1,implicit,True
P67,29,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.995732069,1,implicit,True
P67,30,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,2.566002846,1,implicit,True
P67,31,DLD,1,right,0.0,True,pitch,6,0.9,3.125843199,2.750319958,1,implicit,True
P67,32,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.927184105,1,implicit,True
P67,33,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,3.369337082,1,implicit,True
P67,34,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.507879019,1,implicit,True
P67,35,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,3.179230213,1,implicit,True
P67,36,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,3.612570047,1,implicit,True
P67,37,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.889899015,1,implicit,True
P67,38,DLD,1,right,1.0,False,pitch,4,0.66,2.304593711,6.394567966,1,implicit,True
P67,39,DLD,1,right,0.0,True,pitch,6,0.9,3.125843199,3.098927975,1,implicit,True
P67,40,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,3.075960875,1,implicit,True
P67,41,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.39507103,1,implicit,True
P67,42,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,0.5136289597,1,implicit,True
P67,43,DLD,1,left,0.0,True,pitch,3,0.54,1.893968967,2.937583923,0,implicit,True
P67,44,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.675781012,1,implicit,True
P67,45,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,0.9466469288,1,implicit,True
P67,46,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.595069885,1,implicit,True
P67,47,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,3.484684944,1,implicit,True
P67,48,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.776607037,1,implicit,True
P68,1,DLD,6,right,0.0,True,pitch,6,0.9,3.125843199,4.70069313,1,implicit,True
P68,2,DLD,6,left,1.0,True,pitch,3,0.54,1.893968967,12.09246302,1,implicit,False
P68,3,DLD,6,left,0.0,True,pitch,2,0.42,1.483344223,5.718746901,1,implicit,True
P68,4,DLD,6,right,1.0,True,pitch,4,0.66,2.304593711,3.691120863,1,implicit,True
P68,5,DLD,6,left,1.0,True,pitch,1,0.3,1.07271948,4.096835136,1,implicit,True
P68,6,DLD,6,right,1.0,True,pitch,5,0.78,2.715218455,3.229557037,1,implicit,True
P68,7,DLD,6,left,1.0,True,pitch,1,0.3,1.07271948,4.36070013,1,implicit,True
P68,8,DLD,6,right,1.0,True,pitch,4,0.66,2.304593711,3.061594963,1,implicit,True
P68,9,DLD,6,right,0.0,True,pitch,5,0.78,2.715218455,2.951425076,1,implicit,True
P68,10,DLD,6,left,1.0,True,pitch,3,0.54,1.893968967,3.637452841,1,implicit,True
P68,11,DLD,6,left,0.0,True,pitch,2,0.42,1.483344223,4.067350149,1,implicit,True
P68,12,DLD,6,right,1.0,True,pitch,6,0.9,3.125843199,2.845974922,1,implicit,True
P68,13,DLD,6,right,0.0,True,pitch,4,0.66,2.304593711,2.4153409,1,implicit,True
P68,14,DLD,6,left,1.0,True,pitch,1,0.3,1.07271948,3.009691,1,implicit,True
P68,15,DLD,6,right,1.0,True,pitch,6,0.9,3.125843199,2.980050087,1,implicit,True
P68,16,DLD,6,right,0.0,True,pitch,5,0.78,2.715218455,2.962445021,1,implicit,True
P68,17,DLD,6,left,1.0,True,pitch,2,0.42,1.483344223,2.8617239,1,implicit,True
P68,18,DLD,6,left,0.0,True,pitch,3,0.54,1.893968967,2.767138958,1,implicit,True
P68,19,DLD,6,left,0.0,True,pitch,3,0.54,1.893968967,4.46885705,1,implicit,True
P68,20,DLD,6,right,1.0,True,pitch,6,0.9,3.125843199,3.72687006,1,implicit,True
P68,21,DLD,6,left,1.0,True,pitch,2,0.42,1.483344223,3.830530167,1,implicit,True
P68,22,DLD,6,right,1.0,True,pitch,5,0.78,2.715218455,3.67209816,1,implicit,True
P68,23,DLD,6,right,0.0,True,pitch,4,0.66,2.304593711,2.715806961,1,implicit,True
P68,24,DLD,6,left,1.0,True,pitch,1,0.3,1.07271948,3.328118086,1,implicit,True
P68,25,DLD,6,left,0.0,True,pitch,1,0.3,1.07271948,3.549849033,1,implicit,True
P68,26,DLD,6,right,1.0,True,pitch,4,0.66,2.304593711,2.660230875,1,implicit,True
P68,27,DLD,6,right,0.0,True,pitch,6,0.9,3.125843199,2.729137182,1,implicit,True
P68,28,DLD,6,left,1.0,True,pitch,3,0.54,1.893968967,3.310886145,1,implicit,True
P68,29,DLD,6,right,1.0,True,pitch,5,0.78,2.715218455,2.592570066,1,implicit,True
P68,30,DLD,6,left,1.0,True,pitch,2,0.42,1.483344223,2.597863913,1,implicit,True
P68,31,DLD,6,right,1.0,True,pitch,5,0.78,2.715218455,2.556028128,1,implicit,True
P68,32,DLD,6,left,1.0,True,pitch,2,0.42,1.483344223,2.762020111,1,implicit,True
P68,33,DLD,6,left,0.0,True,pitch,1,0.3,1.07271948,3.420811176,1,implicit,True
P68,34,DLD,6,right,1.0,True,pitch,4,0.66,2.304593711,2.538789034,1,implicit,True
P68,35,DLD,6,left,1.0,True,pitch,3,0.54,1.893968967,3.229612112,1,implicit,True
P68,36,DLD,6,right,1.0,True,pitch,6,0.9,3.125843199,3.443506956,1,implicit,True
P68,37,DLD,6,left,1.0,True,pitch,2,0.42,1.483344223,3.314165115,1,implicit,True
